"Subject","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","zEnglish.MC","zEnglish.Cloze","English.Overall","ProfileRight"
"7859",15,16,0,0,"BDAC",4,"female",62,"monolingual",4,4,5,35,2,11,28,14,14,1,0.15,423,780,0.9625,601.5,1,0.9285714286,558,672,1.2043010753,114,6,6,4,5,4,3,0.0731596468811693,-0.0942978776423102,-0.0211382307611408,FALSE
"7886",8,2,0,0,"CADB",1,"female",10,"monolingual",1,4,6,27,7,26,31,14,17,1,0.05,779.5,717,0.9875,748.25,0.9285714286,0.9285714286,524,489,0.9332061069,-35,6,6,0,0,1,1,0.0731596468811693,0.349456840674444,0.422616487555613,FALSE
"7921",22,21,0,0,"ACBD",2,"female",15,"bilingual",4,4,6,27,13,26,31,14,17,1,0,385.5,1013,1,699.25,1,1,392,377,0.9617346939,-15,5,6,3,3,4,4,0.0731596468811693,0.349456840674444,0.422616487555613,FALSE
"8094",21,22,0,0,"CADB",1,"male",56,"monolingual",3,5,7,37,1,19,33,16,17,1,0.1,259,240,0.975,249.5,0.9285714286,1,373,408,1.0938337802,35,6,6,3,4,3,3,0.506698295065876,0.349456840674444,0.85615513574032,FALSE
"8373",27,31,1,0,"CADB",1,"female",30,"monolingual",6,6,8,36,0,19,42,19,23,1,0,508,870.5,1,689.25,1,1,410,419.5,1.0231707317,9.5,6,6,6,6,6,6,1.15700626734294,1.23696627730795,2.39397254465089,TRUE
"8385",14,16,0,0,"BCAD",2,"female",69,"bilingual",2,4,4,28,4,7,26,13,13,1,0,775,951.5,1,863.25,1,1,854,765,0.8957845433,-89,6,6,1,1,3,3,-0.143609677211184,-0.242216117081228,-0.385825794292412,FALSE
"8443",18,25,0,0,"BCAD",2,"female",71,"monolingual",5,4,5,33,0,0,36,17,19,1,0.05,323,654,0.9875,488.5,1,1,557,543,0.9748653501,-14,6,6,6,6,6,6,0.723467619158229,0.64529331955228,1.36876093871051,FALSE
"8477",17,16,0,0,"CADB",1,"female",42,"monolingual",3,6,8,36,3,25,26,13,13,1,0,264,330.5,1,297.25,1,0.9285714286,359.5,406,1.1293463143,46.5,6,6,3,3,1,1,-0.143609677211184,-0.242216117081228,-0.385825794292412,FALSE
"8509",17,19,0,0,"BCAD",2,"male",68,"bilingual",3,4,5,34,1,10,18,9,9,1,0.2,272.5,565.5,0.95,419,0.5,0.6428571429,766,675,0.8812010444,-91,6,6,1,1,3,3,-1.0106869735806,-0.8338890748369,-1.8445760484175,FALSE
"8531",23,26,0,0,"BDAC",4,"female",52,"monolingual",4,5,8,36,0,30,31,16,15,1,0,214,388,1,301,NA,NA,NA,NA,NA,NA,5,5,3,3,3,3,0.506698295065876,0.0536203617966079,0.560318656862484,FALSE
"8578",12,8,0,0,"DBCA",3,"male",11,"monolingual",2,4,6,9,1,20,17,8,9,1,0.05,430.5,544,0.9875,487.25,1,1,505.5,505.5,1,0,6,6,1,1,2,3,-1.22745629767295,-0.8338890748369,-2.06134537250985,FALSE
"8667",21,28,0,1,"DACB",3,"female",27,"monolingual",3,5,6,33,0,33,44,20,24,1,0,444.5,661.5,1,553,1,1,481.5,470,0.9761163032,-11.5,6,6,5,6,4,5,1.37377559143529,1.38488451674687,2.75866010818216,TRUE
"8674",19,17,0,0,"DACB",3,"female",63,"monolingual",3,4,6,31,0,23,20,11,9,0.95,0,283,1160.5,0.9875,721.75,1,0.9285714286,528,542,1.0265151515,14,6,6,1,1,2,2,-0.577148325395891,-0.8338890748369,-1.41103740023279,FALSE
"8699",13,25,0,0,"BCAD",2,"female",80,"bilingual",4,4,5,36,0,12,30,13,17,1,0.05,198.5,1003,0.9875,600.75,1,1,433.5,474,1.0934256055,40.5,6,6,5,5,5,5,-0.143609677211184,0.349456840674444,0.20584716346326,FALSE
"8706",6,16,0,0,"DACB",3,"male",70,"bilingual",3,5,7,34,2,7,15,7,8,0.95,0.1,254,324,0.9597953216,289,1,1,515,498.5,0.967961165,-16.5,4,5,1,2,1,2,-1.4442256217653,-0.981807314275818,-2.42603293604112,FALSE
"8707",18,26,0,0,"ACBD",2,"female",63,"monolingual",3,4,4,35,5,6,34,17,17,1,0.1,357.5,1007.5,0.975,682.5,1,1,517.5,569,1.0995169082,51.5,5,5,4,4,4,4,0.723467619158229,0.349456840674444,1.07292445983267,FALSE
"8760",6,20,0,0,"DACB",3,"male",82,"monolingual",2,5,7,37,4,7,22,10,12,0.95,0.5,301,895,0.8434210526,598,1,0.9285714286,698.5,635,0.9090909091,-63.5,5,5,1,1,1,1,-0.793917649488244,-0.390134356520146,-1.18405200600839,FALSE
"8763",15,5,0,0,"BDAC",4,"female",40,"monolingual",2,3,4,27,0,26,13,5,8,1,0,263.5,436,1,349.75,1,1,590,528.5,0.8957627119,-61.5,6,6,2,1,2,1,-1.87776426995001,-0.981807314275818,-2.85957158422583,FALSE
"8788",27,7,0,0,"DBCA",3,"male",35,"monolingual",3,6,9,37,2,29,42,19,23,1,0.05,375,983,0.9875,679,0.8571428571,0.6428571429,501,481,0.9600798403,-20,6,6,5,5,6,6,1.15700626734294,1.23696627730795,2.39397254465089,FALSE
"8798",16,15,0,0,"ACBD",2,"male",15,"monolingual",2,4,5,20,12,18,14,7,7,1,0.25,405.5,638,0.9375,521.75,0.9285714286,1,462,393.5,0.8517316017,-68.5,4,6,1,1,2,2,-1.4442256217653,-1.12972555371474,-2.57395117548004,FALSE
"8805",21,14,0,0,"ADBC",4,"male",70,"monolingual",4,4,4,35,1,22,35,15,20,1,0,412,1177,1,794.5,1,1,558,563,1.0089605735,5,6,6,4,5,3,3,0.289928970973523,0.793211558991198,1.08314052996472,FALSE
"8927",15,23,1,0,"CBDA",1,"male",59,"bilingual",5,5,5,36,0,9,32,17,15,1,0,272.5,500,1,386.25,1,0.9285714286,421.5,462,1.0960854093,40.5,5,6,5,6,5,6,0.723467619158229,0.0536203617966079,0.777087980954837,TRUE
"8942",21,33,0,0,"BDAC",4,"male",32,"monolingual",3,5,6,35,0,25,42,19,23,1,0,432,779.5,1,605.75,1,1,473.5,529.5,1.1182682154,56,6,6,4,4,5,5,1.15700626734294,1.23696627730795,2.39397254465089,FALSE
"8968",17,16,0,0,"CADB",1,"male",25,"monolingual",2,4,6,31,0,21,26,14,12,0.95,0,336,349,0.9875,342.5,1,0.9285714286,349.5,460,1.3161659514,110.5,1,1,3,1,5,3,0.0731596468811693,-0.390134356520146,-0.316974709638977,FALSE
"9022",14,17,0,0,"CBDA",1,"female",65,"monolingual",2,6,7,33,1,12,29,15,14,1,0,358,848,1,603,1,1,494,588,1.1902834008,94,1,NA,NA,NA,3,NA,0.289928970973523,-0.0942978776423102,0.195631093331213,FALSE
"9093",18,14,0,0,"BCAD",2,"female",15,"monolingual",3,4,6,18,0,23,21,10,11,1,0.15,358.5,733,0.9625,545.75,1,0.8571428571,403.5,415.5,1.029739777,12,6,6,3,6,2,3,-0.793917649488244,-0.538052595959064,-1.33197024544731,FALSE
"9193",17,20,0,0,"DACB",3,"female",25,"bilingual",9,4,6,32,0,20,38,18,20,1,0.05,223.5,346,0.9875,284.75,1,0.9285714286,338,346,1.0236686391,8,6,6,4,4,4,4,0.940236943250583,0.793211558991198,1.73344850224178,FALSE
"9219",13,11,0,0,"ACBD",2,"male",11,"monolingual",1,5,6,11,23,9,13,5,8,0.95,0.1,524,749.5,0.9597953216,636.75,0.9285714286,1,635,595,0.937007874,-40,5,5,1,1,3,3,-1.87776426995001,-0.981807314275818,-2.85957158422583,FALSE
"9275",11,24,1,0,"DBCA",3,"male",72,"monolingual",3,5,7,35,0,9,15,8,7,1,0.05,423.5,772,0.9875,597.75,1,1,736,756.5,1.0278532609,20.5,6,6,2,2,1,1,-1.22745629767295,-1.12972555371474,-2.35718185138769,TRUE
"9318",15,19,0,0,"DBCA",3,"male",72,"monolingual",2,4,6,34,5,9,19,6,13,1,0.1,281,377.5,0.975,329.25,1,0.9285714286,495,482,0.9737373737,-13,6,6,3,3,2,2,-1.66099494585766,-0.242216117081228,-1.90321106293889,FALSE
"9442",17,16,0,0,"BCAD",2,"female",23,"monolingual",2,4,6,32,2,27,34,14,20,1,0.05,230,336,0.9875,283,1,0.8571428571,365.5,399.5,1.0930232558,34,6,6,3,3,4,4,0.0731596468811693,0.793211558991198,0.866371205872367,FALSE
"9490",25,26,2,0,"DACB",3,"female",39,"monolingual",2,6,9,35,1,21,32,15,17,0.9,0.05,300.5,518,0.9597953216,409.25,1,0.9285714286,405,448,1.1061728395,43,6,6,2,3,4,4,0.289928970973523,0.349456840674444,0.639385811647967,TRUE
"9509",17,19,0,0,"DACB",3,"male",73,"monolingual",3,5,7,37,5,14,38,15,23,1,0.05,403,808,0.9875,605.5,1,1,646,535.5,0.8289473684,-110.5,6,6,4,3,4,3,0.289928970973523,1.23696627730795,1.52689524828147,FALSE
