"textName","TTR","Guiraud","nTokens","nTypes","nLemmas","meanWordLength","MSTTR10","MSTTR30","MSTTR50","HDD42","HDD31","HDD20","MTLD83","MTLD72","MTLD61","MTLD50","MTLD83MA","MTLD72MA","MTLD61MA","MTLD50MA","MATTR100","MATTR65","MATTR30","MATTR10","lexWordNumber","lexWordRatio","ornWordNumber","conjunctionNumber","conjunctionRatio","fullStops","nAdvTokens","nAdjTokens","nVerbTokens","nNounTokens","nAdvTypes","nAdjTypes","nVerbTypes","nNounTypes","nAdvLemmas","nAdjLemmas","nVerbLemmas","nNounLemmas","nConjunctionLemmas","YulesKLemma","YulesK"
"O_PLD_10_arg_D_C_1.txt",0.60714,3.2127,28,17,17,3.67857142857143,1,NA,NA,17,17,13.4563288563289,12.75,19.9168591224018,22.50441609421,29.181141439206,15.1428571428571,16.8333333333333,26.6666666666667,NA,NA,NA,NA,0.868421052631579,11,0.392857142857143,4,4,0.142857142857143,1,3,1,4,3,1,1,4,2,1,1,4,2,2,484.69387755102,484.69387755102
"O_PLD_10_arg_D_C_2.txt",0.74074,3.849,27,20,19,4.48148148148148,1,NA,NA,20,20,16.2108262108262,27,29.16,40.6157142857143,52.0714285714286,23.1666666666667,NA,NA,NA,NA,NA,NA,0.994444444444444,16,0.592592592592593,4,1,0.037037037037037,2,1,3,7,5,1,3,5,3,1,2,5,3,1,274.348422496571,192.043895747599
"O_PLD_10_narr_D_C_1.txt",0.85185,4.42635,27,23,20,4.25925925925926,0.95,NA,NA,23,23,17.6831908831909,28.8544819557625,51.03,71.0775,91.125,NA,NA,NA,NA,NA,NA,NA,0.966666666666667,14,0.518518518518518,3,0,0,2,1,2,5,6,1,2,5,4,1,2,2,4,0,384.087791495199,137.174211248285
"O_PLD_10_narr_D_C_2.txt",0.7619,3.49149,21,16,16,5.23809523809524,0.85,NA,NA,16,16,15.3809523809524,21,22.6985294117647,34.398,44.1,13.5,NA,NA,NA,NA,NA,NA,0.833333333333333,13,0.619047619047619,3,2,0.0952380952380952,3,2,1,7,3,2,1,5,3,2,1,5,3,1,317.460317460317,272.108843537415
"O_PLD_10_narr_D_C_3.txt",0.74419,4.87995,43,32,30,4.34883720930233,0.975,0.8,NA,31.4651162790698,25.0341139291792,17.4494233314426,36.6578171091445,44.9409722222222,65.5554545454546,84.0454545454545,20.7222222222222,38,NA,NA,NA,NA,0.773809523809524,0.952941176470588,22,0.511627906976744,5,3,0.0697674418604651,4,5,0,11,6,4,0,10,5,4,0,9,5,1,216.333153055706,140.616549486209
"O_PLD_11_arg_D_C_1.txt",0.82927,5.30991,41,34,33,4.39024390243902,1,0.9,NA,34,26.7396810506567,18.1285178236398,41,67.24,93.6557142857143,120.071428571429,39,NA,NA,NA,NA,NA,0.905555555555556,0.990625,21,0.51219512195122,9,3,0.0731707317073171,3,8,1,7,5,8,1,7,4,8,1,7,4,2,166.56751933373,107.079119571684
"O_PLD_11_arg_D_C_2.txt",0.74359,4.64372,39,29,27,4.66666666666667,0.966666666666667,0.8,NA,29,24.2912669754775,16.975051975052,25.747572815534,42.588,59.319,76.05,16.7777777777778,NA,NA,NA,NA,NA,0.756666666666667,0.966666666666667,24,0.615384615384615,10,5,0.128205128205128,2,7,3,8,6,6,2,7,5,6,1,7,5,2,249.835634451019,184.089414858646
"O_PLD_11_arg_D_C_3.txt",0.6044,5.76557,91,55,51,4.3956043956044,0.977777777777778,0.822222222222222,0.62,31.1798756553719,24.5658014574921,17.0884765634277,28.6793893129771,45.5,76.9133126934985,115.013888888889,27.3863636363636,38.4516129032258,52.0909090909091,NA,NA,0.649002849002849,0.824193548387097,0.95609756097561,41,0.450549450549451,9,13,0.142857142857143,4,8,1,16,16,7,1,11,11,7,1,8,11,7,248.762226784205,169.061707523246
"O_PLD_11_narr_D_C_1.txt",1,4.89898,24,24,23,4.70833333333333,1,NA,NA,24,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,0.5,3,3,0.125,1,1,2,6,3,1,2,6,3,1,2,4,3,3,104.166666666667,0
"O_PLD_11_narr_D_C_2.txt",0.80645,4.49013,31,25,25,4.80645161290323,0.9,0.8,NA,25,25,17.3934000741565,31,44.8466666666667,62.465,80.0833333333333,16.8333333333333,NA,NA,NA,NA,NA,0.8,0.927272727272727,22,0.709677419354839,6,0,0,6,4,2,12,4,3,2,10,4,3,2,7,4,0,291.363163371488,145.681581685744
"O_PLD_11_narr_D_C_3.txt",0.58182,6.10216,110,64,59,4.29090909090909,0.972727272727273,0.8,0.74,31.7382539374991,24.8846360311882,17.2126814435051,29.5203400121433,51.3333333333333,93.3193892491111,131.521739130435,22.7428571428571,47.2258064516129,92.5333333333333,NA,0.602727272727273,0.696655518394649,0.815637860082305,0.958415841584158,56,0.509090909090909,9,6,0.0545454545454545,10,5,4,25,22,4,4,13,15,4,4,9,13,4,266.115702479339,147.107438016529
"O_PLD_12_arg_D_C_1.txt",0.50926,5.29238,108,55,54,4.09259259259259,0.95,0.777777777777778,0.66,29.5324868094985,23.533929685072,16.564713913592,21.6,41.9376305655533,64.2114823224132,94.5,20.5227272727273,32.5,48,81.8461538461538,0.497777777777778,0.554895104895105,0.755696202531646,0.94949494949495,51,0.472222222222222,14,12,0.111111111111111,12,10,4,26,11,10,3,18,6,10,3,15,6,4,322.359396433471,171.467764060357
"O_PLD_12_arg_D_C_2.txt",0.66957,7.18029,115,77,74,4.29565217391304,0.954545454545455,0.844444444444444,0.77,35.1422987643538,27.0792057813321,18.2997552676275,32.7450372208437,69.6616213646089,135.730263157895,174.013157894737,28.1428571428571,64.2727272727273,NA,NA,0.68125,0.732126696832579,0.85,0.952830188679245,61,0.530434782608696,27,5,0.0434782608695652,15,18,9,24,10,12,8,21,7,11,7,18,7,5,166.351606805293,75.6143667296786
"O_PLD_12_arg_D_C_3.txt",0.57746,6.88129,142,82,80,4.38028169014085,0.964285714285714,0.816666666666667,0.72,32.8172546898039,25.5668809137606,17.5480726234684,23.6666666666667,47.5829614604462,98.0176991150443,168.033333333333,22.5913978494624,55.8536585365854,98.2222222222222,NA,0.651627906976744,0.712820512820513,0.812979351032448,0.942857142857143,70,0.492957746478873,27,19,0.133802816901408,6,16,11,26,17,10,10,20,12,10,8,16,12,5,190.438405078357,130.926403491371
"O_PLD_12_narr_D_C_1.txt",0.52,6.36867,150,78,73,4.64,0.946666666666667,0.813333333333333,0.76,31.3756688505488,24.6667856554787,17.116809153114,27.8962131837307,43.9345991561181,82.7354260089686,156.25,21.816091954023,38.9878048780488,67.5238095238095,NA,0.584313725490196,0.659928443649374,0.796418732782369,0.938297872340425,98,0.653333333333333,35,13,0.0866666666666667,13,23,12,41,22,11,10,18,17,11,10,12,17,2,306.666666666667,149.333333333333
"O_PLD_12_narr_D_C_2.txt",0.56349,6.32518,126,71,67,4.54761904761905,0.925,0.808333333333333,0.72,31.3926930138868,24.6043434592104,17.0405511888509,25.2,47.9016976330742,83.1767309516282,144.327272727273,22.7311827956989,43.8139534883721,84.0192307692308,NA,0.59962962962963,0.654838709677419,0.806185567010309,0.95042735042735,74,0.587301587301587,24,8,0.0634920634920635,13,19,5,35,15,11,5,19,15,10,5,14,15,1,323.759133282943,142.353237591333
"O_PLD_12_narr_D_C_3.txt",0.4186,5.48995,172,72,67,4.4593023255814,0.894117647058824,0.686666666666667,0.573333333333333,27.4866536747949,21.9045916161742,15.5638972233205,15.2083219271831,27.304535637149,46.3740800917519,88.2424348129415,15.6287878787879,23.1804511278195,42.2358490566038,46.3793103448276,0.471232876712329,0.525641025641026,0.668531468531468,0.91840490797546,95,0.552325581395349,28,20,0.116279069767442,7,25,3,44,23,15,3,18,15,14,3,15,15,3,398.188209843158,285.289345592212
