"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"GermanTexts/R/L_PLD_13_arg_D_C_2.txt",3.70588235294118,17,"L",FALSE,"13","arg","D","2"
"GermanTexts/R/L_PLD_5_arg_D_C_3.txt",6.29411764705882,17,"L",FALSE,"5","arg","D","3"
"GermanTexts/R/L_PLD_9_arg_D_C_2.txt",3.41176470588235,17,"L",FALSE,"9","arg","D","2"
"GermanTexts/R/M_PLD_7_arg_D_C_3.txt",4.0625,16,"M",FALSE,"7","arg","D","3"
"GermanTexts/R/N_CD_11_arg_D_C_2.txt",4.47058823529412,17,"N",TRUE,"11","arg","D","2"
"GermanTexts/R/N_CD_11_arg_D_C_3.txt",6.41176470588235,17,"N",TRUE,"11","arg","D","3"
"GermanTexts/R/N_CD_11_narr_D_C_1.txt",5.23529411764706,17,"N",TRUE,"11","narr","D","1"
"GermanTexts/R/N_CD_13_narr_D_C_3.txt",5.11764705882353,17,"N",TRUE,"13","narr","D","3"
"GermanTexts/R/O_PLD_10_narr_D_C_2.txt",4.88235294117647,17,"O",FALSE,"10","narr","D","2"
"GermanTexts/R/O_PLD_6_narr_D_C_1.txt",5,17,"O",FALSE,"6","narr","D","1"
"GermanTexts/R/S_CD_2_narr_D_C_2.txt",4,17,"S",TRUE,"2","narr","D","2"
"GermanTexts/R/S_CD_6_narr_D_C_2.txt",5.58823529411765,17,"S",TRUE,"6","narr","D","2"
"GermanTexts/R/U_CD_13_narr_D_C_2.txt",5.23529411764706,17,"U",TRUE,"13","narr","D","2"
"GermanTexts/R/U_CD_14_arg_D_C_2.txt",7.125,16,"U",TRUE,"14","arg","D","2"
"GermanTexts/R/U_CD_15_arg_D_C_1.txt",4,17,"U",TRUE,"15","arg","D","1"
"GermanTexts/R/U_CD_3_arg_D_C_2.txt",4.58823529411765,17,"U",TRUE,"3","arg","D","2"
"GermanTexts/R/U_CD_4_narr_D_C_3.txt",7.64705882352941,17,"U",TRUE,"4","narr","D","3"
"GermanTexts/R/U_CD_7_arg_D_C_2.txt",5.70588235294118,17,"U",TRUE,"7","arg","D","2"
"GermanTexts/R/V_CD_13_arg_D_C_3.txt",4.58823529411765,17,"V",TRUE,"13","arg","D","3"
"GermanTexts/R/V_CD_16_narr_D_C_1.txt",4.88235294117647,17,"V",TRUE,"16","narr","D","1"
"GermanTexts/R/V_CD_19_narr_D_C_1.txt",5.52941176470588,17,"V",TRUE,"19","narr","D","1"
"GermanTexts/R/V_CD_22_arg_D_C_3.txt",4.29411764705882,17,"V",TRUE,"22","arg","D","3"
"GermanTexts/R/V_CD_30_narr_D_C_3.txt",6.17647058823529,17,"V",TRUE,"30","narr","D","3"
"GermanTexts/R/V_CD_4_arg_D_C_3.txt",7.05882352941176,17,"V",TRUE,"4","arg","D","3"
"GermanTexts/R/V_CD_4_narr_D_C_2.txt",4.47058823529412,17,"V",TRUE,"4","narr","D","2"
"GermanTexts/R/V_CD_5_arg_D_C_1.txt",5.47058823529412,17,"V",TRUE,"5","arg","D","1"
"GermanTexts/R/V_CD_6_arg_D_C_1.txt",5.29411764705882,17,"V",TRUE,"6","arg","D","1"
"GermanTexts/R/V_CD_8_arg_D_C_1.txt",4.35294117647059,17,"V",TRUE,"8","arg","D","1"
