"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"FrenchTexts/O/Y_PNF_28_narr_F_C_3.txt",5.75,8,"Y",FALSE,"28","narr","F","3"
"FrenchTexts/O/Y_PNF_2_narr_F_C_3.txt",4,8,"Y",FALSE,"2","narr","F","3"
"FrenchTexts/O/Y_PNF_6_arg_F_C_2.txt",5.125,8,"Y",FALSE,"6","arg","F","2"
"FrenchTexts/P/AA_PLF_13_narr_F_C_2.txt",6.42857142857143,7,"AA",FALSE,"13","narr","F","2"
"FrenchTexts/P/AA_PLF_4_arg_F_C_3.txt",7.85714285714286,7,"AA",FALSE,"4","arg","F","3"
"FrenchTexts/P/AA_PLF_8_arg_F_C_1.txt",5.85714285714286,7,"AA",FALSE,"8","arg","F","1"
"FrenchTexts/P/AA_PLF_8_narr_F_C_3.txt",7.42857142857143,7,"AA",FALSE,"8","narr","F","3"
"FrenchTexts/P/AD_PLF_10_arg_F_C_2.txt",4.85714285714286,7,"AD",FALSE,"10","arg","F","2"
"FrenchTexts/P/AD_PLF_10_narr_F_C_3.txt",5.57142857142857,7,"AD",FALSE,"10","narr","F","3"
"FrenchTexts/P/AD_PLF_1_narr_F_C_1.txt",5,7,"AD",FALSE,"1","narr","F","1"
"FrenchTexts/P/AD_PLF_20_narr_F_C_1.txt",5.42857142857143,7,"AD",FALSE,"20","narr","F","1"
"FrenchTexts/P/AD_PLF_22_arg_F_C_1.txt",4.28571428571429,7,"AD",FALSE,"22","arg","F","1"
"FrenchTexts/P/AD_PLF_22_narr_F_C_2.txt",6,7,"AD",FALSE,"22","narr","F","2"
"FrenchTexts/P/AD_PLF_25_narr_F_C_2.txt",5,7,"AD",FALSE,"25","narr","F","2"
"FrenchTexts/P/AD_PLF_9_narr_F_C_1.txt",5.85714285714286,7,"AD",FALSE,"9","narr","F","1"
"FrenchTexts/P/AE_PLF_1_arg_F_C_1.txt",4.57142857142857,7,"AE",FALSE,"1","arg","F","1"
"FrenchTexts/P/AE_PLF_1_narr_F_C_2.txt",4.71428571428571,7,"AE",FALSE,"1","narr","F","2"
"FrenchTexts/P/AE_PLF_5_arg_F_C_3.txt",5.71428571428571,7,"AE",FALSE,"5","arg","F","3"
"FrenchTexts/P/AE_PLF_6_arg_F_C_1.txt",4.14285714285714,7,"AE",FALSE,"6","arg","F","1"
"FrenchTexts/P/A_PLF_16_arg_F_C_3.txt",4.71428571428571,7,"A",FALSE,"16","arg","F","3"
"FrenchTexts/P/A_PLF_1_arg_F_C_2.txt",5.71428571428571,7,"A",FALSE,"1","arg","F","2"
"FrenchTexts/P/A_PLF_4_arg_F_C_3.txt",5.28571428571429,7,"A",FALSE,"4","arg","F","3"
"FrenchTexts/P/D_PLF_10_narr_F_C_3.txt",4.71428571428571,7,"D",FALSE,"10","narr","F","3"
"FrenchTexts/P/D_PLF_2_narr_F_C_3.txt",6.71428571428571,7,"D",FALSE,"2","narr","F","3"
"FrenchTexts/P/D_PLF_5_narr_F_C_1.txt",4.85714285714286,7,"D",FALSE,"5","narr","F","1"
"FrenchTexts/P/P_CF_10_arg_F_C_3.txt",6.57142857142857,7,"P",TRUE,"10","arg","F","3"
"FrenchTexts/P/P_CF_11_narr_F_C_1.txt",6,7,"P",TRUE,"11","narr","F","1"
"FrenchTexts/P/P_CF_16_arg_F_C_2.txt",5,7,"P",TRUE,"16","arg","F","2"
"FrenchTexts/P/P_CF_1_arg_F_C_1.txt",6,7,"P",TRUE,"1","arg","F","1"
"FrenchTexts/P/P_CF_7_narr_F_C_1.txt",5.57142857142857,7,"P",TRUE,"7","narr","F","1"
"FrenchTexts/P/Q_CF_10_arg_F_C_3.txt",5.42857142857143,7,"Q",TRUE,"10","arg","F","3"
"FrenchTexts/P/Q_CF_2_narr_F_C_3.txt",6.85714285714286,7,"Q",TRUE,"2","narr","F","3"
"FrenchTexts/P/Q_CF_6_arg_F_C_3.txt",5,7,"Q",TRUE,"6","arg","F","3"
