Country,Year,Mono,One,Two,Three,Total,total_exposomes,sociopolitical,social_physical,GDP,Migration,number_leng_inst,number_stable_inst,distance,gender_equal_l,Polution_conc_inv,Eq,free_parties_l,inclu_suff_est,cred_elect_est,local_dem_est,n,Pop
Hungary,2011,63.2,25.9,9.2,1.7,36.8,0.594386860859112,0.727318365636899,0.417144854488729,141942264554.475,4.40031731724867,2,2,84,0.269847186788382,0.290229351986448,0.691358024691358,1,0.889393215480173,0.453926306612221,0.565953940455203,2245,9759755
Hungary,2019,54.45,29.6,12.65,3.25,45.5,0.304635246429338,0.204891265688374,0.437627220750622,164020460331.659,4.56246525249104,2,2,84,0.18601363383361,0.484892719776279,0.641975308641976,0.0274007053717487,0.792164357381749,0,0,739,9772800
Hungary,2017,56.55,28.9333333333333,11.6166666666667,2.88333333333333,43.4333333333333,0.338991800480261,0.290216734980804,0.404025221146204,143112196040.326,4.56246525249104,2,2,84,0.126011095067465,0.48112629676621,0.604938271604938,0.115478642147258,0.799092212135691,0.0980903522666448,0.148205733373621,26,9913588
Italy,2019,33.05,39.55,21.45,6,67,0.556318557239642,0.612556195711775,0.481335039276799,2011302198827.45,9.6807677420957,1,7,21,0.582472706593823,0.50350771987855,0.358024691358025,0.480838247290084,0.760630673674152,0.597827287565276,0.610928574317589,818,60359500
Italy,2017,33.6833333333333,40.9166666666667,20.55,4.93333333333333,66.4,0.546244186397989,0.6146981559719,0.454972226966108,1961796197354.36,9.6807677420957,1,7,21,0.584059033754853,0.503079869365694,0.277777777777777,0.480838247290084,0.778308647873866,0.621226415405655,0.578419313317995,87,60789190
Italy,2015,35.22,41.2,19.4,4.26,64.86,0.512581775838313,0.578025922647491,0.425322913426076,1836637711060.55,9.6807677420957,1,7,21,0.553344457445312,0.413982307524276,0.308641975308642,0.480838247290084,0.778308647873866,0.606741175722192,0.446215619703823,1327,60795612
Italy,2013,37.66,40.4,18,3.98,62.38,0.508190933959124,0.578025922647491,0.415077615707969,2141924094298.56,9.69373440512658,1,7,21,0.496156449738574,0.409570224545826,0.339506172839505,0.480838247290084,0.778308647873866,0.606741175722192,0.446215619703823,1272,60650000
Italy,2011,40.1,39.6,16.6,3.7,59.9,0.479988256685893,0.577895516964031,0.349445242981708,2294994296589.5,9.70670106815747,1,7,21,0.462407048192141,0.258768186925823,0.327160493827161,0.456749385859517,0.942666029622552,0.474585908591476,0.43758074378258,1037,59296632
Latvia,2019,4.6,30.05,50.95,14.35,95.35,0.460142815797487,0.336982179916302,0.6243569969724,34225547537.0745,13.3532402640341,1,2,60,0.818484879851504,0.690388580201498,0.364197530864198,0.379773677279894,0,0.603989380926697,0.364165661458619,776,1907800
Latvia,2017,4.33333333333334,32.4833333333333,49.85,13.25,95.5833333333333,0.435598392763092,0.346251549467754,0.554727517156876,30483806017.8318,13.3532402640341,1,2,60,0.666913512530305,0.700972742644027,0.296296296296297,0.312628092200508,0.0155279503105583,0.605146139365442,0.451704015994506,908,1903000
Lithuania,2017,4.51666666666667,42.1333333333333,40.45,12.9666666666667,95.55,0.53116995027916,0.57439773141487,0.473532908764879,47758736931.7801,4.72608962255138,1,2,83,0.455658050759793,0.773582650843486,0.191358024691358,0.518012693042467,0.877687529861444,0.533839426438748,0.368051276316823,634,2778000
Lithuania,2019,4.55,40.6,43.35,11.5,95.45,0.555819916901424,0.575727286586563,0.529276757321238,54808531641.4117,4.72608962255138,1,2,83,0.507530485837698,0.765484971311202,0.314814814814815,0.518012693042467,0.873865265169614,0.542979911817351,0.368051276316823,1399,2794200
Luxembourg,2013,2.86,9.48,24.04,63.68,97.2,0.526356556532739,0.547656308439092,0.497956887324268,65203276466.9763,39.2271146141833,2,0,20,0.279865332126045,0.69548681132824,0.518518518518518,0.480838247290084,0.710463449593885,0.603656598184934,0.395666938687464,947,543000
Luxembourg,2015,4.62,13.96,26.08,55.36,95.4,0.543416709660275,0.547656308439092,0.537763911288519,60071584216.1375,43.9641339422687,2,0,20,0.395900861554826,0.754427909347769,0.462962962962963,0.480838247290084,0.710463449593885,0.603656598184934,0.395666938687464,453,569000
Luxembourg,2019,5.5,16.75,25.1,52.65,94.5,0.517131905398845,0.530762992659873,0.49895712238414,69890505323.5842,43.9641339422687,2,0,20,0.334706929885288,0.779448387884415,0.382716049382716,0.480838247290084,0.709030100334449,0.603656598184934,0.329527024830027,671,613900
Luxembourg,2017,5.5,16.3833333333333,26.4333333333333,51.6833333333333,94.5,0.514126776151578,0.547656308439092,0.469420733101561,65712180342.9836,43.9641339422687,2,0,20,0.254371244268105,0.789693424172379,0.364197530864198,0.480838247290084,0.710463449593885,0.603656598184934,0.395666938687464,33,598000
Malta,2017,10.2333333333333,34.8666666666667,40.0833333333333,14.8166666666667,89.7666666666667,0.449599553570998,0.424125475561718,0.483564990916704,13484541925.7714,9.8984880693625,1,1,24,0.0913960103067459,0.667940937752009,0.691358024691358,0.0970280261725964,0.873387482083134,0.334000533759073,0.392085860232066,475,464000
Malta,2019,14.3,39.8,33.85,12.05,85.7,0.446751589672481,0.424125475561718,0.476919741820165,16004563885.7539,9.8984880693625,1,1,24,0.20502106892747,0.645491242952779,0.580246913580247,0.0970280261725964,0.873387482083134,0.334000533759073,0.392085860232066,784,493600
Netherlands,2011,13.9,25.2,37.1,23.7,86,0.737235578642613,0.72759410351785,0.750090878808964,905270626332.687,11.1537458235597,2,9,14,0.941901823111549,0.530593035537567,0.777777777777778,0.456749385859517,0.884854276158625,0.998887595585785,0.569885156467473,518,16645000
Netherlands,2013,13.82,26.6,37.1,22.46,86.16,0.696354270626467,0.675827165309369,0.723723744382597,877172824534.512,11.4247142823404,2,9,14,0.754033215488991,0.657878758399541,0.75925925925926,0.480838247290084,0.885809842331582,0.766775415148336,0.569885156467473,1049,16750000
Netherlands,2019,10.35,24.7,34.55,30.4,89.65,0.664668829711179,0.657048451587722,0.674829333875788,910194347568.626,11.6956827411211,2,9,14,0.644007914732912,0.689122062203096,0.691358024691358,0.480838247290084,0.869087434304826,0.708382968288504,0.569885156467473,979,17410000
Poland,2019,30,46.2,19.85,3.9,69.95,0.49782387612697,0.564226860220629,0.40928656400209,596058473058.766,1.60418083655994,1,3,45,0.308738892318581,0.203071416971638,0.71604938271605,0.518012693042467,0.836120401337792,0.223680374023149,0.679093972479109,1278,37950000
Poland,2017,31.9333333333333,45.4,19.4166666666667,3.16666666666667,67.9833333333333,0.555375343128699,0.690999880199329,0.374542627034525,524641252834.826,1.60418083655994,1,3,45,0.266344509582717,0.196789544360365,0.660493827160494,0.518012693042467,0.933588150979455,0.602494978482145,0.709903698293248,1943,38640000
Poland,2015,33.94,43.74,19.2,3.04,65.98,0.598994507286445,0.762561321547621,0.380905421604876,477111287969.227,1.60418083655994,1,3,45,0.414607839209798,0.197244228073966,0.530864197530864,0.746059748677704,0.933588150979455,0.660693688240078,0.709903698293248,359,38750000
Poland,2011,38.1,38.7,19.2,4,61.9,0.505934763256214,0.683710672823743,0.268900217166174,524374183218.309,1.65314423403824,1,3,45,0.362256207054077,0,0.444444444444444,0.279909980941069,0.97372193024367,0.730709365681395,0.75050141442884,32,38175000
Portugal,2011,41.5,26.6,20.5,11.5,58.6,0.580249142405441,0.696133748675272,0.425736334045665,245117990242.248,7.3833357951508,2,2,21,0.268378899560797,0.755743682823111,0.253086419753087,0.456749385859517,0.84495938843765,0.712124287787362,0.770701932616562,1710,10512254
Portugal,2016,30.85,29.25,24.8333333333333,15.0833333333333,69.1666666666667,0.673617029749779,0.757918821554342,0.561214640677027,221357874718.93,8.0895935893659,2,2,21,0.423898698498664,0.852337816125009,0.407407407407407,0.480838247290084,0.896559961777354,0.883575144533371,0.770701932616562,9,10470000
Portugal,2015,33.1,28.44,23.94,14.54,66.92,0.636048131252454,0.727363720529281,0.514294012216685,199394066525.44,8.0895935893659,2,2,21,0.407074249443784,0.833338651403803,0.302469135802469,0.480838247290084,0.896559961777354,0.761354740433126,0.770701932616562,195,10501200
Romania,2019,57.7,29.95,11.25,1.05,42.25,0.402825936891591,0.421790720149067,0.377539559214956,251017797625.017,1.16313480315329,2,2,144,0.264307006775348,0.522632658523842,0.345679012345679,0.379773677279894,0.832059245102724,0.453214588086925,0.0221153701267236,1248,19200000
Romania,2017,62.0333333333333,26.45,10.55,0.95,37.95,0.331745304470748,0.382485611816826,0.264091561342644,210147163769.848,1.16313480315329,2,2,144,0,0.520669745756327,0.271604938271605,0.391769162702179,0.829431438127091,0.286626476311311,0.0221153701267236,835,19470000
